#OTU ID	Consensus Lineage	F_E.M.N.01	F_E.M.N.02	F_E.M.N.03	F_E.M.N.04	F_E.M.N.05	F_E.M.N.06	F_E.M.N.07	F_E.M.N.08	F_E.M.N.09	F_E.M.N.10	F_E.M.N.11	F_E.M.T.03	F_E.M.T.04	F_E.M.T.05	F_E.M.T.06	F_E.M.T.07	F_E.M.T.08	F_E.M.T.09	F_E.M.T.10	F_E.M.T.11	F_E.M.T.2B	F_E.M.T.5B	F_E.M.T.9A	F_E.S.N.01	F_E.S.N.02	F_E.S.N.04	F_E.S.N.05	F_E.S.N.06	F_E.S.N.07	F_E.S.N.08	F_E.S.N.09	F_E.S.N.10	F_E.S.N.11	F_E.S.T.03	F_E.S.T.04	F_E.S.T.05	F_E.S.T.06	F_E.S.T.07	F_E.S.T.08	F_E.S.T.09	F_E.S.T.10	F_E.S.T.11	F_E.S.T.2B	F_E.S.T.5B	F_E.S.T.9A	F_R.M.N.01	F_R.M.N.02	F_R.M.N.03	F_R.M.N.04	F_R.M.N.05	F_R.M.N.06	F_R.M.N.07	F_R.M.N.08	F_R.M.N.09	F_R.M.N.10	F_R.M.N.11	F_R.M.T.03	F_R.M.T.04	F_R.M.T.05	F_R.M.T.06	F_R.M.T.07	F_R.M.T.08	F_R.M.T.09	F_R.M.T.10	F_R.M.T.11	F_R.M.T.2B	F_R.M.T.5B	F_R.M.T.9A	F_R.S.N.01	F_R.S.N.02	F_R.S.N.03	F_R.S.N.04	F_R.S.N.05	F_R.S.N.06	F_R.S.N.07	F_R.S.N.08	F_R.S.N.09	F_R.S.N.10	F_R.S.N.11	F_R.S.T.03	F_R.S.T.04	F_R.S.T.05	F_R.S.T.06	F_R.S.T.07	F_R.S.T.08	F_R.S.T.09	F_R.S.T.10	F_R.S.T.11	F_R.S.T.2B	F_R.S.T.5B	F_R.S.T.9A
0	Root;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenophlyctis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1	Root;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Ascocoryne	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Root;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Phlyctochytrium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Root;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Eurotium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Root;Fungi;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Olpidiaceae;Powellomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Root;Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Spiromastix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	7	0
6	Root;Fungi;Ascomycota;Sordariomycetes;Sordariomycetes incertae sedis;Sordariomycetes incertae sedis;Leptosporella	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Root;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Lycoperdaceae;Lycoperdon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Root;Fungi;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Agonimia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Root;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Mesochytrium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
