SampleID	SampleName	Sample Gold ID	Date	Domain	Analysis Type	Ecosystem Subtype	Sample GenomeSize	Sample GeneCount	Sample Scaffold Count	SiteID	Latitude 	Longitude	Sample Altitude	Name	Tissue	TaxonId	DBH(cm)	Distance to River (m)	Distance to closest Populus (m)	Distance from tree to sampled roots (m)	Number of proximal Trees (Prism)	Number of Proximal Poplar Trees (Prism)	Canopy Width (m)	Basal Area (m2)	Basal Area per Hectare (All tree)	Basal Area per Hectare (populus)	Basal area dominance populus/hectare (%)	Soil Moisture	CaCo3	Cacl2	PH	Sand	Silt	Clay	C	N	OM	Ca	K	Mg	Mn	P	Zn
B_E.M.N.01	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 44' 45.6"" N"	"80° 19' 87.5"" W"		Populus deltoides	Root EndoSphere		66.3	0	20	2.5	4	0	9.41	0.3	1.7	0.3	20	22.97	701	5.12	5.72	35.3	43.2	21.5	3.84	0.24	7.75	2847	94.6	543.2	67.3	159.4	11.6
B_E.M.N.02	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 43' 73.8"" N"	"80° 20' 77.0"" W"		Populus deltoides	Root EndoSphere		51.7	0	10	1	1	1	12.05	0.2	0.4	0.4	100	17.53	636	5.88	6.48	35.9	31.9	32.2	5.31	0.38	9.65	3015	345.2	436.2	58.5	31	14.9
B_E.M.N.03	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 56' 47.4"" N"	"80° 41' 38.8"" W"		Populus deltoides	Root EndoSphere		66.4	6.4	1.52	0.5	9	4	15.6	0.3	3.5	1.7	50	5.01	186	5.05	5.65	89.9	7.3	2.8	0.81	0.05	1.63	409	48.6	52.1	8.7	9.4	3.9
B_E.M.N.04	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 43' 35.5"" N"	"80° 23' 71.1"" W"		Populus deltoides	Root EndoSphere		47.25	106.7	6.01	1.98	12	4	12.75	0.2	2.3	0.9	38.4615384615	65.49	1303	5.23	5.83	25.9	55.8	18.3	32.65	0.62	17.03	3085	384.1	436.3	31.2	171.2	32.2
B_E.M.N.05	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 50' 17.1"" N"	"80° 29' 08.3"" W"		Populus deltoides	Root EndoSphere		62.8	55.5	no Pop	6.4	9	0	13.1	0.3	3.1	0.3	10	19.44	455	5.51	6.11	52.6	32	15.4	2.24	0.18	4.73	1493	132.3	177.3	36	15.6	6.1
B_E.M.N.06	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 48' 11.1"" N"	"80° 33' 25.0"" W"		Populus deltoides	Root EndoSphere		71.5	16.9	no Pop	7	7	0	11.83	0.4	3.2	0.4	12.5	24.24	646	5.25	5.85	18.6	52	29.4	3.1	0.23	7.38	1782	120.3	263.9	38.2	27.6	14.1
B_E.M.N.07	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 45'42.1"" N"	"80° 30' 38.6"" W"		Populus deltoides	Root EndoSphere		37.7	53.5	0.23	1.59	8	3	8.23	0.1	1	0.4	44.4444444444	21.15	507	5.73	6.33	35.2	33.3	31.4	2.51	0.19	5.87	1774	147.9	192.6	39.5	22.7	6.8
B_E.M.N.08	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 53'13.0"" N"	"80° 48' 94.7"" W"		Populus deltoides	Root EndoSphere		119.5	70.1	5.48	6.19	11	1	25.9	1.1	13.5	2.2	16.6666666667	31.01	579	5.24	5.84	21.2	41.3	37.5	2.72	0.23	7.65	1524	171.5	176	38.3	17.3	8
B_E.M.N.09	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 47'51.8"" N"	"80° 28' 16.0"" W"		Populus deltoides	Root EndoSphere		95	2	50	15.24	10	7	21.89	0.7	7.8	5.7	72.7272727273	24.32	643	5.14	5.74	21.3	44.7	34	3.14	0.25	7.3	1343	218	177.1	32.4	10.6	7.3
B_E.M.N.10	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 51'59.0"" N"	"80° 23' 29.3"" W"		Populus deltoides	Root EndoSphere		82.5	20	no Pop	6.1	9	0	16.15	0.5	5.3	0.5	10	24.55	793	4.81	5.41	16	50.6	33.4	3.43	0.27	7.47	1426	174.3	181.9	43.1	30.6	12
B_E.M.N.11	Populus Roots Endosphere sampled in May in NC		May, 2010								"35° 44'50.1"" N"	"80° 27' 39.0"" W"		Populus deltoides	Root EndoSphere		69.6	2.13	no Pop	0.36	14	0	14.88	0.4	5.7	0.4	6.6666666667	22.12	831	4.86	5.46	18	47.9	34.1	3.53	0.26	8.21	1602	112.6	307.2	84.7	21.8	11.3
B_E.M.T.03	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 14' 31.8"" N"	"85° 56' 39.1"" W"		Populus deltoides	Root EndoSphere		73.5	14.02	3.5	2	4	2	16.61	0.4	2.1	1.3	60	16.77	401	6.85	7.45	47.2	35.9	16.8	3	0.24	4.95	2762	88.9	221.3	56.5	148.5	18.2
B_E.M.T.04	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 08' 32.1"" N"	"85° 48' 23.6"" W"		Populus deltoides	Root EndoSphere		122.4	32.9	3.05	2.5	10	4	23.85	1.2	12.9	5.9	45.5	11.61	256	6.25	6.85	75.9	15.9	8.2	1.59	0.12	2.64	1584	44.4	98.2	44.9	151.9	5.5
B_E.M.T.05	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 06' 02.9"" N"	"85° 49' 55.3"" W"		Populus deltoides	Root EndoSphere		77	15.24	4	3.3	7	5	12.25	0.5	3.7	2.8	75	14.29	244	5.55	6.15	55.8	30	14.2	0.85	0.07	1.79	1329	61.9	90.8	46.6	231.2	2.3
B_E.M.T.06	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 07' 00.7"" N"	"85° 50' 40.0"" W"		Populus deltoides	Root EndoSphere		80	13.6	6.3	1.4	10	1	16.3	0.5	5.5	1	18.2	19.4	399	5.69	6.29	41.9	43	15.1	2	0.16	4.19	1768.5	61.5	97.2	66.1	125.1	5
B_E.M.T.07	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 08' 44.5"" N"	"85° 51' 51.7"" W"		Populus deltoides	Root EndoSphere		68.5	18.4	1.92	0.51	9	2	12.51	0.4	3.7	1.1	30	37.11	546	6.6	7.2	21.2	50	28.9	3.84	0.34	7.23	4361	72.1	285.9	74.2	390.7	29.1
B_E.M.T.08	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 08' 53.3"" N"	"85° 50' 28.5"" W"		Populus deltoides	Root EndoSphere		71	13	no Pop	0.67	8	0	10.6	0.4	3.6	0.4	11.1	13.93	228	6.4	7	79.2	13.3	7.5	1.47	0.11	2.89	1650	34.7	93.2	60	205.1	3.7
B_E.M.T.09	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 11' 07.9"" N"	"85° 54' 17.5"" W"		Populus deltoides	Root EndoSphere		68	26.4	5.8	0.46	3	1	15.85	0.4	1.5	0.7	50	20.05	456	6.26	6.86	20.6	55.3	24.1	2.58	0.22	5.16	2585	109.3	189.2	49.4	132.4	5.5
B_E.M.T.10	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 07' 54.9"" N"	"85° 48' 23.01"" W"		Populus deltoides	Root EndoSphere		56	11	no Pop	2.14	5	0	52	0.2	1.5	0.2	16.7	27.08	385	6.86	7.46	64	22.5	13.5	3.97	0.28	6.59	3727	80.1	336.3	61.4	198.2	25.3
B_E.M.T.11	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 12' 6.4"" N"	"85° 56' 6.5"" W"		Populus deltoides	Root EndoSphere		61	40	1.6	0.8	3	3	9.8	0.3	1.2	1.2	100	25.29	382	6.65	7.25	43.9	32.6	23.5	1.88	0.16	3.68	3455	63	182.5	42.9	473.5	16
B_E.M.T.2B	Populus Roots Endosphere sampled in May in TN		May, 2010								"36° 14' 57.7"" N"	"85° 57' 25.1"" W"		Populus deltoides	Root EndoSphere		119	25.2	4.7	4	3	1	18.14	1.1	4.4	2.2	50	18.61	596	7.42	8.02	25.2	41.2	33.5	7.38	0.33	7.26	7026	125.5	246.4	4.7	56.3	1.5
